State,Change
Alabama,7.5
Alaska,13.3
Arizona,24.6
Arkansas,9.1
California,10
Colorado,16.9
Delaware,14.6
District of Columbia,5.2
Florida,17.6
Georgia,18.3
Hawaii,12.3
Idaho,21.1
Illinois,3.3
Indiana,6.6
Iowa,4.1
Kansas,6.1
Kentucky,7.4
Louisiana,1.4
Maine,4.2
Maryland,9
Massachusetts,3.1
Michigan,-0.6
Minnesota,7.8
Mississippi,4.3
Missouri,7
Montana,9.7
Nebraska,6.7
Nevada,35.1
New Hampshire,6.5
New Jersey,4.5
New Mexico,13.2
New York,2.1
North Carolina,18.5
North Dakota,4.7
Ohio,1.6
Oklahoma,8.7
Oregon,12
Pennsylvania,3.4
Rhode Island,0.4
South Carolina,15.3
South Dakota,7.9
Tennessee,11.5
Texas,20.6
Utah,23.8
Vermont,2.8
Virginia,13
Washington,14.1
West Virginia,2.5
Wisconsin,6
Wyoming,14.1